Time,x_d,y_d,theta_d,v_,delta_
13.3110926,0.865984,-4.1202932,-2.3321099,0.7120438,-0.0123349
13.3611343,0.8413573,-4.1460982,-2.333551,0.713678,-0.0119054
13.411176,0.8166381,-4.1719266,-2.3349445,0.7152662,-0.011482
13.4612177,0.7918293,-4.1977778,-2.3362909,0.7168081,-0.0110644
13.5112594,0.7669335,-4.223651,-2.3375905,0.7183033,-0.0106525
13.5613011,0.7419534,-4.2495456,-2.3388437,0.7197516,-0.010246
13.6113428,0.7168919,-4.2754607,-2.3400508,0.7211528,-0.0098448
13.6613845,0.6917516,-4.3013958,-2.3412122,0.7225065,-0.0094484
13.7114262,0.6665353,-4.32735,-2.3423283,0.7238126,-0.0090569
13.7614679,0.6412458,-4.3533227,-2.3433993,0.7250709,-0.0086699
13.8115096,0.6158858,-4.3793132,-2.3444255,0.7262811,-0.0082872
13.8615513,0.5904582,-4.4053207,-2.3454073,0.7274429,-0.0079086
13.911593,0.5649658,-4.4313445,-2.3463449,0.7285563,-0.007534
13.9616347,0.5394113,-4.457384,-2.3472386,0.7296209,-0.0071631
14.0116764,0.5137975,-4.4834383,-2.3480885,0.7306367,-0.0067958
14.0617181,0.4881273,-4.5095069,-2.3488951,0.7316034,-0.0064318
14.1117598,0.4624035,-4.5355889,-2.3496584,0.7325209,-0.0060709
14.1618015,0.4366289,-4.5616836,-2.3503787,0.733389,-0.0057131
14.2118432,0.4108063,-4.5877904,-2.3510563,0.7342076,-0.005358
14.2618849,0.3849387,-4.6139086,-2.3516912,0.7349765,-0.0050055
14.3119266,0.3590287,-4.6400373,-2.3522837,0.7356955,-0.0046555
14.3619683,0.3330793,-4.6661759,-2.3528339,0.7363647,-0.0043078
14.41201,0.3070933,-4.6923237,-2.3533419,0.7369837,-0.0039621
14.4620517,0.2810735,-4.7184799,-2.3538081,0.7375527,-0.0036184
14.5120934,0.2550229,-4.7446438,-2.3542323,0.7380713,-0.0032764
14.5621351,0.2289443,-4.7708148,-2.3546148,0.7385397,-0.002936
14.6121768,0.2028405,-4.7969921,-2.3549557,0.7389576,-0.002597
14.6622185,0.1767145,-4.8231749,-2.3552551,0.739325,-0.0022593
14.7122602,0.150569,-4.8493626,-2.355513,0.7396419,-0.0019227
14.7623019,0.124407,-4.8755544,-2.3557296,0.7399081,-0.001587
14.8123436,0.0982314,-4.9017497,-2.3559048,0.7401237,-0.001252
14.8623853,0.0720449,-4.9279476,-2.3560387,0.7402886,-0.0009177
14.912427,0.0458505,-4.9541475,-2.3561314,0.7404028,-0.0005838
14.9624687,0.0196511,-4.9803487,-2.3561829,0.7404662,-0.0002501
15.0125104,-0.0065504,-5.0065504,-2.3561932,0.7404789,8.34e-05
15.0625521,-0.0327513,-5.032752,-2.3561623,0.7404408,0.0004169
15.1125938,-0.0589485,-5.0589526,-2.3560902,0.740352,0.0007507
15.1626355,-0.0851393,-5.0851516,-2.3559769,0.7402125,0.0010848
15.2126772,-0.1113207,-5.1113483,-2.3558223,0.7400222,0.0014194
15.2627189,-0.1374899,-5.137542,-2.3556265,0.7397813,0.0017547
15.3127606,-0.163644,-5.1637318,-2.3553892,0.7394897,0.0020909
15.3628023,-0.1897801,-5.1899172,-2.3551106,0.7391476,0.002428
15.412844,-0.2158954,-5.2160973,-2.3547905,0.7387549,0.0027664
15.4628857,-0.2419869,-5.2422715,-2.3544288,0.7383118,0.003106
15.5129274,-0.2680519,-5.2684391,-2.3540254,0.7378183,0.0034472
15.5629691,-0.2940874,-5.2945992,-2.3535802,0.7372745,0.00379
15.6130108,-0.3200907,-5.3207513,-2.3530932,0.7366805,0.0041347
15.6630525,-0.3460587,-5.3468946,-2.352564,0.7360363,0.0044814
15.7130942,-0.3719888,-5.3730284,-2.3519927,0.7353422,0.0048302
15.7631359,-0.397878,-5.3991519,-2.351379,0.7345982,0.0051815
15.8131776,-0.4237234,-5.4252644,-2.3507228,0.7338045,0.0055352
15.8632193,-0.4495224,-5.4513653,-2.3500239,0.7329612,0.0058916
15.9132611,-0.475272,-5.4774538,-2.3492821,0.7320683,0.006251
15.9633028,-0.5009693,-5.5035291,-2.3484972,0.7311262,0.0066134
16.0133445,-0.5266116,-5.5295907,-2.347669,0.730135,0.006979
16.0633862,-0.5521961,-5.5556377,-2.3467972,0.7290947,0.0073481
16.1134279,-0.57772,-5.5816694,-2.3458816,0.7280057,0.0077208
16.1634696,-0.6031803,-5.6076852,-2.344922,0.726868,0.0080974
16.2135113,-0.6285744,-5.6336842,-2.343918,0.725682,0.008478
16.263553,-0.6538995,-5.6596659,-2.3428694,0.7244478,0.0088628
16.3135947,-0.6791528,-5.6856295,-2.3417759,0.7231655,0.0092521
16.3636364,-0.7043314,-5.7115742,-2.3406372,0.7218356,0.009646
16.4136781,-0.7294327,-5.7374994,-2.339453,0.7204581,0.0100448
16.4637198,-0.7544538,-5.7634043,-2.3382229,0.7190333,0.0104486
16.5137615,-0.7793921,-5.7892883,-2.3369465,0.7175615,0.0108578
16.5638032,-0.8042448,-5.8151506,-2.3356236,0.716043,0.0112725
16.6138449,-0.8290091,-5.8409905,-2.3342537,0.7144779,0.0116929
16.6638866,-0.8536823,-5.8668073,-2.3328364,0.7128667,0.0121194
16.7139283,-0.8782618,-5.8926003,-2.3313714,0.7112095,0.0125521
16.76397,-0.9027449,-5.9183688,-2.3298581,0.7095067,0.0129913
16.8140117,-0.9271287,-5.9441121,-2.3282963,0.7077586,0.0134373
16.8640534,-0.9514107,-5.9698295,-2.3266853,0.7059655,0.0138902
